Reference,Account Number,Description,Start Balance,Mutation,End Balance
145487,NL90ABNA0585647886,Tickets for Richard King,59.62,+26.59,86.21
112806,NL32RABO0195610843,Candy from Daniël Bakker,69.58,+39.32,108.9
169556,NL91RABO0315273637,Clothes from Daniël Theuß,32.36,+28.94,61.3
151985,NL74ABNA0248990274,Clothes from Jan King,31.73,-22.66,9.07
112806,NL32RABO0195610843,Flowers for Willem Dekker,81.35,+37.46,118.81
112806,NL74ABNA0248990274,Subscription for Vincent de Vries,15.74,-12.58,3.16
102702,NL90ABNA0585647886,Tickets from Jan King,37.38,+18.79,56.17
155823,NL93ABNA0585619023,Candy for Rik Dekker,97.5,+21.65,119.15
102461,NL74ABNA0248990274,Tickets from Richard King,12.78,-35.01,-22.23
150198,NL46ABNA0625805417,Tickets for Vincent Bakker,12.07,+2.84,14.91
